Level_Code,University,City,Course,Faculty,Local_Fees,Int_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
VOC,Canberra Institute of Technology,Canberra,Statement of Attainment - Allied Health Assistance - Nutrition and Dietetics Skill Set ,English,684,,AUD,Years,6,Months,,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/health_fitness/allied_health/SA-HS07,English,A,"This training is for currently qualified Allied Health Assistants, with preference given to those currently working in industry. This Skill Set will provide you with skills and knowledge required by a Nutrition/Dietetics assistant in undertaking support tasks delegated by a Dietician. This applies to Nutrition/Dietetic assistants working in a variety of settings such as hospitals, community, rehabilitation facilities and health centres.",Allied Health Nutrition and Dietetics assistant,Australia,,,,,Yes,
VOC,Canberra Institute of Technology,Canberra,Statement of Attainment - Allied Health Assistance - Social Work Skill Set ,English,369,,AUD,Years,6,Months,,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/health_fitness/allied_health/SA-HS06,English,A,"This training is for  currently qualified Allied Health Assistants, with preference given to those currently working in industry. This Skill Set will   provide you with skills and knowledge required by a social work assistant in undertaking support tasks delegated by a social worker. This applies to social work assistants working in a variety of settings such as hospitals, community, rehabilitation facilities and health centres.",Allied health social worker assistant,Australia,,,,,Yes,
VOC,Canberra Institute of Technology,Canberra,Certificate II in Animal Studies,Science and Health Science,1305,,AUD,Years,2,Days,,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/science_environment/animal_studies/C2-HS28,English,A,"This qualification is a general pre-vocational qualification aimed for inclusion in a VET in Schools program or as an entry point into the animal care and management industry, where workers provide care for animals in workplaces such as animal shelters, kennels, catteries, sanctuaries and veterinary clinics.",- Animal care attendant- Animal shelter attendant - Kennel hand- Cattery attendant- Pet shop attendant - Assistant dog groomer,Australia,,,,,Yes,
DIP,Canberra Institute of Technology,Canberra,Diploma of Applied Fashion Design and Merchandising,"Architecture, Building & Planning",6135,,AUD,Years,2,Years,Yes,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/creative/fashion/DP-BD40,English,A,,"Fashion designer,  junior designer, fashion design support, product developer, patternmaker,  grader, fashion magazine assistant, stylist.",Australia,,,,,Yes,
VOC,Canberra Institute of Technology,Canberra,Certificate III in Applied Fashion Design and Technology,Computer Science & Information Technology,2603,,AUD,Years,18,Months,,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/creative/fashion/C3-BD39,English,A,,Machinist or assistant dressmaker able to produce complex whole garments. Assistant in applied design and production roles within clothing and fashion  industry. Clothing retail assistant or in garment alterations.,Australia,,,,,Yes,
SHORT COURSES,Canberra Institute of Technology,Canberra,Statement of Attainment - Course in Asbestos Awareness,Humanities and Social Science,190,,AUD,Years,4,Hours,,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/professional/building_management/SA-BD39,English,A,This course is designed to provide the knowledge and skill for individuals to be able to identify a range of Asbestos products and materials and be able to report the material to the relevant person.,Completing this program is a requirement for all people working in the construction industry and any other industries where exposure to Asbestos Containing Material may exist.,Australia,,,,,Yes,
SHORT COURSES,Canberra Institute of Technology,Canberra,Statement of Attainment - Assist Clients with Medication Skill Set,Humanities and Social Science,407.00,,AUD,Years,1,Days,Yes,,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/health_fitness/aged_care/SA-HS24,English,A,This skill set is for individual support and/or care workers wishing to upskill to be able to provide support for individuals in self-administration of medication. This training is for individuals working in care and support roles in the community and aged care.,Individual support worker or care worker in the community services sector or residential aged care homes.,Australia,,,,,Yes,
VOC,Canberra Institute of Technology,Canberra,Certificate III in Automotive Body Repair Technology,Engineering,2096,,AUD,Years,3,Years,,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/trades/panel_paint/C3-TC35,English,A,"This course (program) will provide you with the skills and knowledge required to repair and maintain the body of cars, heavy vehicles and other vehicles in the automotive industry.",Pathway in Vehicle Painting - automotive spray painterPathway in Panel Beating - automotive panel beater.,Australia,,,,,Yes,
VOC,Canberra Institute of Technology,Canberra,"Statement of Attainment - Automotive CNG Installation, Service and Repair Skill Set",Humanities and Social Science,2096,,AUD,Years,5,Days,Yes,,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/trades/forklift/SA-TC110,English,A,This course is designed to meet industry needs.It provides training to Automotive Tradespersons to allow you to gain licences in Forklift CNG gasfitting.,"You must be a qualified automotive tradesperson AND be employed in an organisation that installs, services and/or repairs LPG / CNG systems in vehicles.",Australia,,,,,Yes,
VOC,Canberra Institute of Technology,Canberra,Statement of Attainment - Automotive CNG Service and Repair Skill Set,Humanities and Social Science,2096,,AUD,Years,3,Days,Yes,,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/trades/forklift/SA-TS24,English,A,This course is designed to meet industry needs. It provides training to Automotive Tradespersons to allow you to gain licences in Forklift CNG gasfitting.,Licensed Forklift CNG Gasfitter,Australia,,,,,Yes,
VOC,Canberra Institute of Technology,Canberra,Certificate III in Automotive Electrical Technology,Engineering,3548,,AUD,Years,3,Years,,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/trades/auto_electrical/C3-TC36,English,A,This course (program) provides training that will enable you to repair and maintain the electrical systems and components of cars and other vehicles. You must be an apprentice or trainee to enrol in this course.,Automotive electrician.,Australia,,,,,Yes,
VOC,Canberra Institute of Technology,Canberra,"Statement of Attainment - Automotive LPG Installation, Service and Repair Skill Set",Humanities and Social Science,3548,,AUD,Years,3,Days,Yes,,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/trades/forklift/SA-TS19,English,A,"You will gain skills and knowledge of the fundamental safety requirements for installation, service and repair of automotive LPG systems in the automotive retail, service and repair industry.This course is designed to meet industry needs. It provides training to Automotive Tradespersons to allow you to gain licences in Forklift LPG gasfitting.",Licensed Forklift LPG Gasfitter.,Australia,,,,,Yes,
VOC,Canberra Institute of Technology,Canberra,Statement of Attainment - Automotive LPG Service and Repair Skill Set,Humanities and Social Science,3548,,AUD,Years,5,Days,Yes,,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/trades/forklift/SA-TC109,English,A,This course is designed to meet industry needs.It provides training to Automotive Tradespersons to allow you to gain licences in Forklift LPG gasfitting.,Licensed Forklift LPG Gasfitter,Australia,,,,,Yes,
VOC,Canberra Institute of Technology,Canberra,Certificate III in Automotive Motorcycle Mechanical Technology,Engineering,2172,,AUD,Years,3,Years,,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/trades/auto_mechanical/C3-TC38,English,A,This course (program) provides you with the skills and knowledge required to perform a broad range of tasks on a variety of motorcycles within the automotive service and repair industry.,Motorcycle mechanic.,Australia,,,,,Yes,
VOC,Canberra Institute of Technology,Canberra,Certificate III in Automotive Refinishing Technology,Engineering,2440,,AUD,Years,3,Years,,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/trades/panel_paint/C3-TC42,English,A,"This course (program) covers the skills and knowledge required to paint, refinish, repair and maintain painted surfaces to a range of automotive vehicles, recreational vehicles and other vehicles within the automotive industry. This course (program) may also cover non-automotive which may include industrial machinery and tools.","Vehicle refinishing technician, heavy vehicle and industry.",Australia,,,,,Yes,
VOC,Canberra Institute of Technology,Canberra,Certificate II in Automotive Vocational Preparation,Humanities and Social Science,495,,AUD,Years,1,Years,,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/trades/auto_mechanical/C2-TS11,English,A,"This course is an introductory qualification to the automotive retail, service and repair industries and an entry to further training in several sectors. It is designed for application in a highly supervised context, such as VET in Schools (VETiS) or other equivalent introduction or induction to industry environments. The range of technical skills and knowledge is limited.","This program is designed for students to progress into the Certificate 3 qualifications in the automotive field such as; mechanical, auto electrical, and panel and paint trades.",Australia,,,,,Yes,
VOC,Canberra Institute of Technology,Canberra,Statement of Attainment - training in Backflow Prevention,Humanities and Social Science,927,,AUD,Years,3,Days,,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/trades/plumbing/SA-TS05,English,A,"This program is designed to provide plumbers with the skills required to correctly install, commission and maintain Backflow Prevention Devices as required by the relevant licensing authority.",Professional development for Journeyman/Registered Plumber or independent plumbing contractor.,Australia,,,,,Yes,
VOC,Canberra Institute of Technology,Canberra,Certificate III in Baking,Culinary,1980,,AUD,Years,1,Days,,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/service_industry/baking_patisserie/C3-TS15,English,A,"This qualification describes the skills and knowledge of a baker who bakes bread, cake, pastry and biscuit products working in a commercial baking environment.All work must be carried out to comply with workplace procedures, in accordance with State/Territory food safety, and work health and safety, regulations and legislation that apply to the workplace.","Baker (bread, cakes and pastries)",Australia,,,,,Yes,
VOC,Canberra Institute of Technology,Canberra,Statement of Attainment - training in Bar Service,Humanities and Social Science,191,,AUD,Years,5, Weeks,,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/service_industry/hospitality/SA-TS35,English,A,"This program gives participants the knowledge and range of skills required to work in a bar including setting up a bar for service, serving drinks, advising customers about drinks and knowing the regulations and responsibilities associated with serving alcoholic drinks.","Bar attendant; bar, nightclub, club etc., Drinks Service; cafes, restaurants, hotels, clubs, wedding receptions, function work.",Australia,,,,,Yes,
VOC,Canberra Institute of Technology,Canberra,Certificate III in Barbering,Law,8000,,AUD,Years,1,Days,Yes,,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/creative/hairdressing/C3-BD25,English,A,"In this qualification you will gain the skills and knowledge to be employed as a creative barber working as part of a team in a barbering or hair salon environment. You will become competent in communicating in the workplace, consulting with clients, recommending products and services, and designing and applying a broad range of technical, head and face shaving, freehand clipper designs, beard and moustache services, carving and track design barbering services on clients. You will gain a range of well-developed skills where your discretion and judgement are required and you are responsible for your own creative design.CIT is a fully accredited Pivot Point school enabling us to use state of the art resources on campus, off campus and online. Our salons replicate a commercial barber / salon environment - working on clients - which makes the learning journey more enjoyable and practical to barbering clientele.",Barber,Australia,,,,,Yes,
BA,Canberra Institute of Technology,Canberra,Statement of Attainment - BAS Agent Registration Skill Set,Humanities and Social Science,500,,AUD,Years,6,Months,,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/professional/accounting_finance/SA-BC69,English,A,"This program is designed for persons who are seeking registration as a business activity statement (BAS) agent with the Tax Practitioners Board (TPB). The program, together with the appropriate assessment methods as set by the Tax Practitioners Board (TPB), meets the requirements for a course in basic GST/BAS taxation principles that is approved by the TPB. Persons seeking BAS agent registration should check with the TPB for details of current registration requirements, including those relating to experience and fitness and propriety.This qualification is available flexibly and you can enrol to commence your studies at any time. Alternatively you may enrol for day and/or evening classroom delivery each semester.",BAS Agent,Australia,,,,,Yes,
BA,Canberra Institute of Technology,Canberra,Statement of Attainment - training in Basic Engineering Drafting,Humanities and Social Science,536,,AUD,Years,6,Months,Yes,,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/professional/engineering/SA-BD40,English,A,In this program you will learn skills and knowledge in both manual and computer based (CAD) techniques for compilation of basic engineering drawings. You will also learn the procedures and communication skills required by the engineering industry.,Engineering draftsperson.,Australia,,,,,Yes,
BA,Canberra Institute of Technology,Canberra,Statement of Attainment - training in Basic First Aid and Manual Handling (WTG),Humanities and Social Science,536,,AUD,Years,4,Days,,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/trades/work_health_and_safety/SA-TS44,English,A,"In this program you will gain the skills and knowledge required to work safely in the renewables industry. This short course includes first aid, manual handling and low voltage rescue.",Entry into the renewable energy industry,Australia,,,,,Yes,
BA,Canberra Institute of Technology,Canberra,Statement of Attainment - training in Basic Food Hygiene,Humanities and Social Science,32,,AUD,Years,6,Months,,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/service_industry/commercial_cookery/SA-TH05,English,A,This program is designed to provide you with the skills involved in food  handling and a practical approach to hygiene principles and practices. Food  handlers require those skills to comply with the requirements contained  within the Australia/New Zealand Food Standards (ANZFS) Code.This program achieves one unit of competency in the Certificate IV in  Commercial Cookery (SIT40516).,This  program will provide participants involved in food handling a practical  approach to hygiene practices and principles.,Australia,,,,,Yes,
BA,Canberra Institute of Technology,Canberra,Statement of Attainment - training in Basic Safety Rescue Systems,Humanities and Social Science,32,,AUD,Years,4,Days,,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/science_environment/renewable_energy_skills/SA-TS32,English,A,In this program you will gain the skills and knowledge required to work safely on wind farms.,Working on a wind farm or in the renewable's industry.,Australia,,,,,Yes,
BA,Canberra Institute of Technology,Canberra,Statement of Attainment - training in Basic Technical Training,Humanities and Social Science,32,,AUD,Years,4,Days,,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/science_environment/renewable_energy_skills/SA-TS33,English,A,In this program you will gain the skills and knowledge required to work safely on wind farms.,Working on a wind farm or in the renewables industry,Australia,,,,,Yes,
